Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"A preliminary demonstration of exemplar-based voice conversion for articulation disorders using an individuality-preserving dictionary","EURASIP Journal on Audio, Speech, and Music Processing","","2014","1","10.1186/1687-4722-2014-5","Ryo AiharaRyoichi TakashimaTetsuya TakiguchiYasuo Ariki","2014","http://link.springer.com/article/10.1186/1687-4722-2014-5","Article"
"Power of Articulation","","","","","10.1007/978-3-031-33077-3","Matti Kortesoja","2023","http://link.springer.com/book/10.1007/978-3-031-33077-3","Book"
"Articulatory undershoot of vowels in isolated REM sleep behavior disorder and early Parkinson’s disease","npj Parkinson's Disease","","8","1","10.1038/s41531-022-00407-7","Dominik SkrabalJan RuszMichal NovotnyKarel SonkaEvzen RuzickaPetr DusekTereza Tykalova","2022","http://link.springer.com/article/10.1038/s41531-022-00407-7","Article"
"Articulation","Encyclopedia of Clinical Neuropsychology","","","","10.1007/978-3-319-56782-2_864-4","Janet P. Patterson","2017","http://link.springer.com/referenceworkentry/10.1007/978-3-319-56782-2_864-4","ReferenceWorkEntry"
"Numerical investigation of effects of tongue articulation and velopharyngeal closure on the production of sibilant [s]","Scientific Reports","","12","1","10.1038/s41598-022-18784-7","HsuehJui LuTsukasa YoshinagaChungGang LiKazunori NozakiAkiyoshi IidaMakoto Tsubokura","2022","http://link.springer.com/article/10.1038/s41598-022-18784-7","Article"
"Pigmented villonodular synovitis does not influence the outcome following cementless total hip arthroplasty using ceramic-on-ceramic articulation: a case-control study with middle-term follow-up","Journal of Orthopaedic Surgery and Research","","13","1","10.1186/s13018-018-0996-6","Chi XuHeng GuoKerri L. BellFeng-Chih KuoJi-Ying Chen","2018","http://link.springer.com/article/10.1186/s13018-018-0996-6","Article"
"Language, Speech, and Voice Citations","Hearing, Speech, and Communication Disorders","","","","10.1007/978-1-4757-0626-0_2","","1974","http://link.springer.com/chapter/10.1007/978-1-4757-0626-0_2","Chapter"
"Designing Digital Work","","","","","10.1007/978-3-030-12259-1","Stefan OpplChristian Stary","2019","http://link.springer.com/book/10.1007/978-3-030-12259-1","Book"
"Articulation and Empirical Mode Decomposition Features in Diadochokinetic Exercises for the Speech Assessment of Parkinson’s Disease Patients","Progress in Pattern Recognition, Image Analysis, Computer Vision, and Applications","","","","10.1007/978-3-030-33904-3_65","Juan Camilo Vásquez-CorreaCristian D. Rios-UrregoAlice RuedaJuan Rafael Orozco-ArroyaveSri KrishnanElmar Nöth","2019","http://link.springer.com/chapter/10.1007/978-3-030-33904-3_65","Chapter"
"Differential Diagnosis of Pediatric Speech Sound Disorder","Current Developmental Disorders Reports","","1","3","10.1007/s40474-014-0017-3","Barbara Dodd","2014","http://link.springer.com/article/10.1007/s40474-014-0017-3","Article"
"Defining the lateral edge of the femoroacetabular articulation: correlation analysis between radiographs and computed tomography","Journal of Children's Orthopaedics","","10","5","10.1007/s11832-016-0768-y","Ashish MittalJames D. BomarMegan E. JeffordsMing-Tung HuangDennis R. WengerVidyadhar V. Upasani","2016","http://link.springer.com/article/10.1007/s11832-016-0768-y","Article"
"Simple and contingent adaptation effects for place of articulation in stop consonants","Perception & Psychophysics","","23","2","10.3758/BF03208292","James R. SawuschDavid B. Pisoni","1978","http://link.springer.com/article/10.3758/BF03208292","Article"
"Speech assessment tool methods for speech impaired children: a systematic literature review on the state-of-the-art in Speech impairment analysis","Multimedia Tools and Applications","","82","22","10.1007/s11042-023-14913-0","Gowri Prasood UshaJohn Sahaya Rani Alex","2023","http://link.springer.com/article/10.1007/s11042-023-14913-0","Article"
"Effect of Godelieve Denys-Struyf (GDS) muscle and articulation chain treatment on clinical variables of patients with chronic low back pain and lumbar disc degeneration: a pilot feasibility randomized controlled trial","Pilot and Feasibility Studies","","9","1","10.1186/s40814-023-01268-4","Sidsel LombardoGunvor HildeMilada Cvancarova SmåstuenMargreth Grotle","2023","http://link.springer.com/article/10.1186/s40814-023-01268-4","Article"
"Evidence for phonetic processing of cues to place of articulation: Perceived manner affects perceived place","Perception & Psychophysics","","29","1","10.3758/BF03198837","Guy CardenAndrea LevittPeter W. JusczykAmanda Walley","1981","http://link.springer.com/article/10.3758/BF03198837","Article"
