Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Speech-Language Therapy","Encyclopedia of Clinical Neuropsychology","","","","10.1007/978-3-319-56782-2_925-3","Roberta Depompei","2018","http://link.springer.com/referenceworkentry/10.1007/978-3-319-56782-2_925-3","ReferenceWorkEntry"
"Correction to: Emerging professional practices focusing on reducing inequity in speech-language therapy and audiology: a scoping review","International Journal for Equity in Health","","22","1","10.1186/s12939-023-01892-9","Kristen AbrahamsRizwana MallickAmeer S-J HohlfeldThiani PillayTamzyn SuliamanHarsha Kathard","2023","http://link.springer.com/article/10.1186/s12939-023-01892-9","Article"
"Features and Quality of a Mobile Application Employed in a Speech-Language Therapy","Human-Computer Interaction. Interaction Contexts","","","","10.1007/978-3-319-58077-7_20","Tihomir OrehovačkiDijana Plantak VukovacZlatko StapićTatjana Novosel-Herceg","2017","http://link.springer.com/chapter/10.1007/978-3-319-58077-7_20","Chapter"
"Emerging professional practices focusing on reducing inequity in speech-language therapy and audiology: a scoping review protocol","Systematic Reviews","","11","1","10.1186/s13643-022-01953-0","Kristen AbrahamsRizwana MallickAmeer HohlfeldTamzyn SuliamanHarsha Kathard","2022","http://link.springer.com/article/10.1186/s13643-022-01953-0","Article"
"Emerging professional practices focusing on reducing inequity in speech-language therapy and audiology: a scoping review","International Journal for Equity in Health","","22","1","10.1186/s12939-022-01815-0","Kristen AbrahamsRizwana MallickAmeer S-J HohlfeldThiani PillayTamzyn SuliamanHarsha Kathard","2023","http://link.springer.com/article/10.1186/s12939-022-01815-0","Article"
"Understanding Dysphagia Care in Pakistan: A Survey of Current Speech Language Therapy Practice","Dysphagia","","","","10.1007/s00455-023-10633-7","Rohma N. AkhtarNicholas BehnSally Morgan","2023","http://link.springer.com/article/10.1007/s00455-023-10633-7","Article"
"Correction to: Utilizing an Emotional Robot Capable of Lip-Syncing in Robot-Assisted Speech Therapy Sessions for Children with Language Disorders","International Journal of Social Robotics","","15","2","10.1007/s12369-023-00972-8","Alireza EsfandbodZeynab RokhiAli F. MeghdariAlireza TaheriMinoo AlemiMahdieh Karimi","2023","http://link.springer.com/article/10.1007/s12369-023-00972-8","Article"
"Utilization of Speech and Language Pathologists (SLP) Services and Feeding Therapy Interventions in Late Preterm Infants (LPI)","Pediatric Research","","70","5","10.1038/pr.2011.1061","P SrinivasanP JainA MelkonianM Dimattia","2011","http://link.springer.com/article/10.1038/pr.2011.1061","Article"
"The applicability of normalisation process theory to speech and language therapy: a review of qualitative research on a speech and language intervention","Implementation Science","","6","1","10.1186/1748-5908-6-95","Deborah M James","2011","http://link.springer.com/article/10.1186/1748-5908-6-95","Article"
"Language, Speech, and Voice Citations","Hearing, Speech, and Communication Disorders","","","","10.1007/978-1-4757-0626-0_2","","1974","http://link.springer.com/chapter/10.1007/978-1-4757-0626-0_2","Chapter"
